operation,time
write, 0.000027
write, 0.000107
write, 0.000026
write, 0.000112
write, 0.000010
write, 0.000108
write, 0.000062
write, 0.000492
write, 0.000010
write, 0.000115
write, 0.000012
write, 0.000142
write, 0.000011
write, 0.000107
write, 0.000060
write, 0.000473
write, 0.000010
write, 0.000126
write, 0.000051
write, 0.000470
write, 0.000011
write, 0.000108
write, 0.000011
write, 0.000108
write, 0.000052
write, 0.000472
