time, 0.000187
time, 0.000169
time, 0.000207
time, 0.000163
time, 0.000036
time, 0.000064
time, 0.000236
time, 0.000189
time, 0.000206
time, 0.000195
time, 0.000170
time, 0.000186
time, 0.000199
time, 0.000119
time, 0.000183
time, 0.000158
time, 0.000240
time, 0.000221
time, 0.000238
time, 0.000215
time, 0.000226
time, 0.000204
time, 0.000185
time, 0.000168
time, 0.000160
time, 0.000094
time, 0.000237
time, 0.000220
time, 0.000212
time, 0.000172
time, 0.000166
time, 0.000092
time, 0.000227
time, 0.000215
time, 0.000127
time, 0.000087
time, 0.000233
time, 0.000221
time, 0.000239
time, 0.000227
