operation,time
write,52833
write,14968
read,1193557
read,16950
write,22578
read,1189775
write,53812
read,3822264
write,77230
write,104568
read,34048
read,5984269
write,249150
write,21417
read,3366562
read,48523
write,268701
read,1926738
write,26776
read,55306
write,157584
write,21170
read,1028125
read,32479
write,111876
write,18688
read,1826115
read,41933
write,75412
read,1083556
write,47286
read,41473
write,59316
write,14912
read,1270176
read,26219
write,39697
write,11799
read,1279896
read,16412
write,19197
read,1254398
write,49008
read,4159896
write,71384
write,122277
read,36159
read,8946081
write,334553
write,24563
read,3222759
read,55808
write,204560
write,34069
read,2250315
read,57164
write,125596
write,19432
read,1987105
read,31082
write,99368
write,19930
read,2196168
read,44917
write,84626
read,1210691
write,48680
read,31890
write,59679
write,16901
read,1605769
read,30541
write,42144
write,11805
read,1633652
read,19744
write,20133
read,1570893
write,52120
